CARRO;PLACA;EMPRESA;STATUS;UF;ANO FAB;ANO MOD;MARCA;MODELO;TIPO;EIXO;QTD POLT;POT MOTOR;CHASSI;RENAVAM
6034;OZO5I54;PROGRESSO;ATIVO;PE;2014;2014;SCANIA;MARCOPOLO PARADISO DD;DD - LEITO;4;40;440;9BSK8X200E3862771;1021076632
6035;PJO1700;PROGRESSO;ATIVO;BA;2015;2015;SCANIA;MARCOPOLO PARADISO R;TRUCK;3;46;360;9BSK6X200G3880741;1067089460
6036;PKA6577;PROGRESSO;ATIVO;BA;2016;2016;SCANIA;COMIL CAMPIONE R;TRUCK;3;46;360;9BSK6X200G3884393;1094171961
6037;PKO4H92;PROGRESSO;ATIVO;PE;2017;2017;SCANIA;MARCOPOLO PARADISO DD;DD - EXE/LEITO;4;64;440;9BSK8X200H3902323;1124253588
6038;PLH3424;PROGRESSO;ATIVO;BA;2018;2018;SCANIA;MARCOPOLO PARADISO LD;LD;3;48;360;9BSK6X200J3932547;1168658044
6039;PLX3J31;PROGRESSO;ATIVO;BA;2019;2019;SCANIA;COMIL CAMPIONE DD;DD - EXE/LEITO;4;64;440;9BSK8X200K3956174;1205915572
6043;RPO0G80;PROGRESSO;ATIVO;BA;2022;2023;SCANIA;COMIL CAMPIONE DD;DD - CAMA;3;36;400;9BSK6X200P4027287;1333513612
6044;OZO9G57;PROGRESSO;ATIVO;PE;2014;2014;SCANIA;MARCOPOLO PARADISO DD;DD - LEITO;4;40;440;9BSK8X200E3862784;1021074850
6045;PJO0903;PROGRESSO;ATIVO;BA;2015;2015;SCANIA;MARCOPOLO PARADISO R;TRUCK;3;46;360;9BSK6X200G3880792;1067090476
6046;PKA8497;PROGRESSO;ATIVO;BA;2016;2016;SCANIA;COMIL CAMPIONE R;TRUCK;3;46;360;9BSK6X200G3884383;1094094150
6047;PKO1662;PROGRESSO;ATIVO;BA;2017;2017;SCANIA;MARCOPOLO PARADISO DD;DD - EXE/LEITO;4;64;440;9BSK8X200H3902881;1124256277
6048;PLH5872;PROGRESSO;ATIVO;BA;2018;2018;SCANIA;MARCOPOLO PARADISO LD;LD;3;48;360;9BSK6X200J3932554;1168657340
6049;PLX1B16;PROGRESSO;ATIVO;BA;2019;2019;SCANIA;COMIL CAMPIONE DD;DD - EXE/LEITO;4;64;440;9BSK8X200K3954703;1206444026
6053;RPO1A05;PROGRESSO;ATIVO;BA;2022;2023;SCANIA;COMIL CAMPIONE DD;DD - CAMA;3;36;400;9BSK6X200P4027299;1333515259
6054;OZO1759;PROGRESSO;ATIVO;BA;2014;2014;SCANIA;MARCOPOLO PARADISO R;TRUCK;3;46;360;9BSK6X200E3864160;1021602393
6055;PJO4383;PROGRESSO;ATIVO;BA;2015;2015;SCANIA;MARCOPOLO PARADISO R;TRUCK;3;46;360;9BSK6X200G3880785;1067091600
6056;PKA8561;PROGRESSO;ATIVO;BA;2016;2016;SCANIA;COMIL CAMPIONE R;TRUCK;3;46;360;9BSK6X200G3884405;1094089297
6057;PKO6113;PROGRESSO;ATIVO;BA;2017;2017;SCANIA;MARCOPOLO PARADISO DD;DD - EXE/LEITO;4;64;440;9BSK8X200H3902902;1125477404
6058;PLH9838;PROGRESSO;ATIVO;BA;2018;2018;SCANIA;MARCOPOLO PARADISO LD;LD;3;48;360;9BSK6X200J3932582;1168657820
6059;PLX9A55;PROGRESSO;ATIVO;BA;2019;2019;SCANIA;COMIL CAMPIONE DD;DD - EXE/LEITO;4;64;440;9BSK8X200K3956162;1205906875
6063;RPO3H51;PROGRESSO;ATIVO;PE;2022;2023;SCANIA;COMIL CAMPIONE DD;DD - CAMA;3;36;400;9BSK6X200P4027321;1333513078
6064;OZO0974;PROGRESSO;ATIVO;BA;2014;2014;SCANIA;MARCOPOLO PARADISO R;TRUCK;3;46;360;9BSK6X200E3864182;1021606259
6065;PJO6011;PROGRESSO;ATIVO;BA;2015;2015;SCANIA;MARCOPOLO PARADISO R;TRUCK;3;46;360;9BSK6X200G3880755;1067087947
6066;PKA0967;PROGRESSO;ATIVO;BA;2016;2016;SCANIA;COMIL CAMPIONE R;TRUCK;3;46;360;9BSK6X200G3884395;1094092387
6067;PKO5541;PROGRESSO;ATIVO;BA;2017;2017;SCANIA;MARCOPOLO PARADISO DD;DD - EXE/LEITO;4;64;440;9BSK8X200H3903178;1125478036
6068;PLH1615;PROGRESSO;ATIVO;BA;2018;2018;SCANIA;MARCOPOLO PARADISO LD;LD;3;48;360;9BSK6X200J3932596;1168657560
6069;PLX1C42;PROGRESSO;ATIVO;BA;2019;2019;SCANIA;COMIL CAMPIONE DD;DD - EXE/LEITO;4;64;440;9BSK8X200K3954685;1206398156
6073;RPT9I91;PROGRESSO;ATIVO;BA;2022;2023;SCANIA;COMIL CAMPIONE DD;DD - SEMI-LEITO/LEITO;3;52;400;9BSK6X200P4032980;1337426692
6074;OZO2490;PROGRESSO;INATIVO;BA;2014;2014;SCANIA;MARCOPOLO PARADISO R;TRUCK;3;46;360;9BSK6X200E3864174;1021354870
6075;PJO7351;PROGRESSO;ATIVO;BA;2015;2015;SCANIA;MARCOPOLO PARADISO R;TRUCK;3;46;360;9BSK6X200G3880745;1067086797
6076;PKA4H33;PROGRESSO;ATIVO;BA;2016;2016;SCANIA;COMIL CAMPIONE R;TRUCK;3;46;360;9BSK6X200G3884386;1094175401
6077;PKO8407;PROGRESSO;ATIVO;BA;2017;2017;SCANIA;MARCOPOLO PARADISO DD;DD - EXE/LEITO;4;64;440;9BSK8X200H3902299;1125474189
6078;PLH3495;PROGRESSO;ATIVO;BA;2018;2018;SCANIA;MARCOPOLO PARADISO R;TRUCK;3;46;360;9BSK6X200J3932529;1168656998
6079;PLX0A41;PROGRESSO;ATIVO;BA;2019;2019;SCANIA;COMIL CAMPIONE DD;DD - EXE/LEITO;4;64;440;9BSK8X200K3954695;1206396471
6083;RPT0H76;PROGRESSO;ATIVO;BA;2022;2023;SCANIA;COMIL CAMPIONE DD;DD - SEMI-LEITO/LEITO;3;52;400;9BSK6X200P4033005;1337424754
6084;OZO2639;PROGRESSO;INATIVO;BA;2014;2014;SCANIA;MARCOPOLO PARADISO R;TRUCK;3;46;360;9BSK6X200E3864168;1021354942
6085;PJO2063;PROGRESSO;ATIVO;BA;2015;2015;SCANIA;MARCOPOLO PARADISO R;TRUCK;3;46;360;9BSK6X200G3880753;1067085960
6086;PKA2287;PROGRESSO;ATIVO;BA;2016;2016;SCANIA;COMIL CAMPIONE R;TRUCK;3;46;360;9BSK6X200G3884385;1094173549
6087;PKO2353;PROGRESSO;ATIVO;BA;2017;2017;SCANIA;MARCOPOLO PARADISO DD;DD - EXE/LEITO;4;64;440;9BSK8X200H3902892;1124425885
6088;PLH3658;PROGRESSO;ATIVO;BA;2018;2018;SCANIA;MARCOPOLO PARADISO R;TRUCK;3;46;360;9BSK6X200J3932520;1168656599
6089;PLX5F08;PROGRESSO;ATIVO;BA;2019;2019;SCANIA;COMIL CAMPIONE DD;DD - EXE/LEITO;4;64;440;9BSK8X200K3954691;1206397540
6093;RPT6C67;PROGRESSO;ATIVO;BA;2022;2023;SCANIA;COMIL CAMPIONE DD;DD - SEMI-LEITO/LEITO;3;52;400;9BSK6X200P4032978;1337423677
6094;OZO1541;PROGRESSO;INATIVO;BA;2014;2014;SCANIA;MARCOPOLO PARADISO R;TRUCK;3;46;360;9BSK6X200E3864178;1021662752
6095;PJO8355;PROGRESSO;ATIVO;BA;2015;2015;SCANIA;MARCOPOLO PARADISO R;TRUCK;3;46;360;9BSK6X200G3880735;1067095362
